ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10278860,HY467334,10/18/2015 10:20:00 PM,037XX S WOLCOTT AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,true,0912,009,11,59,08A,1164303,1879882,2015,10/25/2015 03:55:25 PM,41.826013982,-87.672715888,"(41.826013982, -87.672715888)"
10278815,HY467316,10/18/2015 10:19:00 PM,079XX S ADA ST,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,0612,006,21,71,18,1168709,1852095,2015,10/25/2015 03:55:25 PM,41.749669056,-87.65735279,"(41.749669056, -87.65735279)"
10279013,HY467343,10/18/2015 10:18:00 PM,055XX W POTOMAC AVE,0650,BURGLARY,HOME INVASION,APARTMENT,false,false,2532,025,37,25,05,,,2015,10/25/2015 03:55:25 PM,,,
10279100,HY467350,10/18/2015 10:10:00 PM,046XX W ERIE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,false,true,1111,011,28,25,08B,,,2015,10/25/2015 03:55:25 PM,,,
10278835,HY467362,10/18/2015 10:10:00 PM,008XX E DREXEL SQUARE DR,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,STREET,false,false,0233,002,4,41,11,1182625,1871058,2015,10/25/2015 03:55:25 PM,41.801393988,-87.605771241,"(41.801393988, -87.605771241)"
10278848,HY467320,10/18/2015 10:05:00 PM,032XX W 62ND ST,0460,BATTERY,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),false,false,0823,008,15,66,08B,1155832,1863336,2015,10/25/2015 03:55:25 PM,41.780784033,-87.704238578,"(41.780784033, -87.704238578)"
10278892,HY467427,10/18/2015 10:00:00 PM,066XX S HONORE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,0726,007,15,67,08B,1165155,1860698,2015,10/25/2015 03:55:25 PM,41.773352763,-87.670133114,"(41.773352763, -87.670133114)"
10281392,HY469374,10/18/2015 10:00:00 PM,011XX E 87TH ST,2820,OTHER OFFENSE,TELEPHONE THREAT,COMMERCIAL / BUSINESS OFFICE,false,false,0412,004,8,44,26,1185218,1847526,2015,10/25/2015 03:55:25 PM,41.736759399,-87.597000707,"(41.736759399, -87.597000707)"
10281569,HY469794,10/18/2015 10:00:00 PM,0000X W VAN BUREN ST,0820,THEFT,$500 AND UNDER,APARTMENT,false,false,0113,001,2,32,06,1176054,1898521,2015,10/25/2015 03:55:25 PM,41.8769047,-87.629043466,"(41.8769047, -87.629043466)"
10278832,HY467328,10/18/2015 10:00:00 PM,020XX W NORTH AVE,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,GROCERY FOOD STORE,false,false,1434,014,32,24,10,1162267,1910637,2015,10/25/2015 03:55:25 PM,41.910451267,-87.679325895,"(41.910451267, -87.679325895)"
